timestamp,temperature (degF),humidity (%)
2021-02-18 14:12:40,34.7,64.2
2021-02-18 14:17:40,34.6,64.2
2021-02-18 14:22:41,34.6,64.2
2021-02-18 14:27:41,34.5,64.3
2021-02-18 14:32:41,34.5,64.3
2021-02-18 14:37:41,33.6,63.6
2021-02-18 14:42:42,34.6,65.2
2021-02-18 14:47:42,35.6,65.5
2021-02-18 14:52:42,36.2,65.8
2021-02-18 14:57:42,36.7,66.0
2021-02-18 15:02:42,37.1,66.1
2021-02-18 15:07:42,37.5,66.4
2021-02-18 15:12:43,37.7,66.6
2021-02-18 15:17:43,37.9,66.7
2021-02-18 15:22:43,38.1,66.8
2021-02-18 15:27:43,38.3,66.9
2021-02-18 15:32:43,38.5,66.8
2021-02-18 15:37:44,38.5,66.8
2021-02-18 15:42:44,38.6,66.9
2021-02-18 15:47:44,38.6,66.9
2021-02-18 15:52:44,38.7,66.9
2021-02-18 15:57:44,38.7,67.0
2021-02-18 16:02:45,38.7,67.0
2021-02-18 16:07:45,38.8,66.9
2021-02-18 16:12:45,38.8,67.0
2021-02-18 16:17:45,38.7,67.0
2021-02-18 16:22:45,38.7,67.0
2021-02-18 16:27:45,38.7,67.1
2021-02-18 16:32:46,38.8,67.0
2021-02-18 16:37:46,38.7,67.1
2021-02-18 16:42:46,38.6,67.2
2021-02-18 16:47:46,38.3,66.3
2021-02-18 16:52:46,38.2,66.5
2021-02-18 16:57:47,38.2,66.6
2021-02-18 17:02:47,38.2,66.7
2021-02-18 17:07:47,38.1,66.8
2021-02-18 17:12:47,38.0,66.9
2021-02-18 17:17:47,37.8,67.0
2021-02-18 17:22:48,37.8,67.1
2021-02-18 17:27:48,37.7,67.3
2021-02-18 17:32:48,37.6,67.4
2021-02-18 17:37:48,37.5,67.5
2021-02-18 17:42:48,37.4,67.6
2021-02-18 17:47:49,37.3,67.7
2021-02-18 17:52:49,37.2,67.7
2021-02-18 17:57:49,37.2,68.0
2021-02-18 18:02:49,37.0,67.8
2021-02-18 18:07:49,36.5,66.7
2021-02-18 18:12:49,36.4,66.8
2021-02-18 18:17:50,36.3,67.0
2021-02-18 18:22:50,36.3,67.3
2021-02-18 18:27:50,36.1,67.5
2021-02-18 18:32:50,36.0,67.8
2021-02-18 18:37:50,35.9,68.0
2021-02-18 18:42:51,35.8,68.2
2021-02-18 18:47:51,35.7,68.4
2021-02-18 18:52:51,35.6,68.3
2021-02-18 18:57:51,35.6,68.5
2021-02-18 19:02:51,35.4,68.6
2021-02-18 19:07:52,35.3,68.8
2021-02-18 19:12:52,35.2,69.0
2021-02-18 19:17:52,35.2,69.2
2021-02-18 19:22:52,35.0,69.3
2021-02-18 19:27:52,34.9,69.4
2021-02-18 19:32:53,34.9,69.6
2021-02-18 19:37:53,34.8,69.7
2021-02-18 19:42:53,34.7,69.8
2021-02-18 19:47:53,34.6,69.9
2021-02-18 19:52:53,34.5,70.1
2021-02-18 19:57:54,34.4,70.2
2021-02-18 20:02:54,34.4,70.3
2021-02-18 20:07:54,34.3,70.4
2021-02-18 20:12:54,34.3,70.5
2021-02-18 20:17:54,34.2,70.6
2021-02-18 20:22:54,34.2,70.6
2021-02-18 20:27:55,34.1,70.7
2021-02-18 20:32:55,34.0,70.8
2021-02-18 20:37:55,33.9,70.8
2021-02-18 20:42:55,33.9,71.0
2021-02-18 20:47:55,33.8,71.0
2021-02-18 20:52:56,33.8,71.2
2021-02-18 20:57:56,33.7,71.2
2021-02-18 21:02:56,33.7,71.3
2021-02-18 21:07:56,33.6,71.3
2021-02-18 21:12:56,33.6,71.4
2021-02-18 21:17:57,33.5,71.5
2021-02-18 21:22:57,33.5,71.6
2021-02-18 21:27:57,33.5,71.7
2021-02-18 21:32:57,33.4,71.5
2021-02-18 21:37:57,33.4,71.6
2021-02-18 21:42:57,33.4,71.7
2021-02-18 21:47:58,33.3,71.7
2021-02-18 21:52:58,33.2,71.9
2021-02-18 21:57:58,33.1,72.0
2021-02-18 22:02:58,33.1,72.0
2021-02-18 22:07:58,33.0,72.1
2021-02-18 22:12:59,33.0,72.2
2021-02-18 22:17:59,32.8,72.3
2021-02-18 22:22:59,32.8,72.4
2021-02-18 22:27:59,32.7,72.4
2021-02-18 22:32:59,32.7,72.5
2021-02-18 22:38:00,32.6,72.6
2021-02-18 22:43:00,32.5,72.7
2021-02-18 22:48:00,32.5,72.7
2021-02-18 22:53:00,32.4,72.8
2021-02-18 22:58:00,32.4,72.9
2021-02-18 23:03:00,32.3,72.9
2021-02-18 23:08:01,32.3,73.0
2021-02-18 23:13:01,32.2,73.0
2021-02-18 23:18:01,32.2,73.1
2021-02-18 23:23:01,32.2,73.1
2021-02-18 23:28:01,32.1,73.2
2021-02-18 23:33:02,32.0,73.2
2021-02-18 23:38:02,32.0,73.4
2021-02-18 23:43:02,31.9,73.4
2021-02-18 23:48:02,31.9,73.4
2021-02-18 23:53:02,31.8,73.4
2021-02-18 23:58:03,31.7,73.4
2021-02-19 00:03:03,31.6,73.4
2021-02-19 00:08:03,31.6,73.5
2021-02-19 00:13:03,31.6,73.5
2021-02-19 00:18:03,31.4,73.5
2021-02-19 00:23:04,31.4,73.5
2021-02-19 00:28:04,31.3,73.5
2021-02-19 00:33:04,31.3,73.4
2021-02-19 00:38:04,31.2,73.4
2021-02-19 00:43:04,31.1,73.5
2021-02-19 00:48:05,31.0,73.5
2021-02-19 00:53:05,31.0,73.5
2021-02-19 00:58:05,30.9,73.5
2021-02-19 01:03:05,30.8,73.5
2021-02-19 01:08:05,30.8,73.5
2021-02-19 01:13:05,30.7,73.5
2021-02-19 01:18:06,30.5,73.4
2021-02-19 01:23:06,30.5,73.5
2021-02-19 01:28:06,30.5,73.5
2021-02-19 01:33:06,30.4,73.4
2021-02-19 01:38:06,30.3,73.5
2021-02-19 01:43:07,30.2,73.5
2021-02-19 01:48:07,30.1,73.5
2021-02-19 01:53:07,30.0,73.5
2021-02-19 01:58:07,30.0,73.5
2021-02-19 02:03:07,29.9,73.5
2021-02-19 02:08:08,29.9,73.5
2021-02-19 02:13:08,29.8,73.4
2021-02-19 02:18:08,29.7,73.4
2021-02-19 02:23:08,29.7,73.4
2021-02-19 02:28:08,29.6,73.4
2021-02-19 02:33:09,29.5,73.3
2021-02-19 02:38:09,29.4,73.3
2021-02-19 02:43:09,29.4,73.4
2021-02-19 02:48:09,29.3,73.4
2021-02-19 02:53:09,29.3,73.5
2021-02-19 02:58:09,29.3,73.5
2021-02-19 03:03:10,29.2,73.5
2021-02-19 03:08:10,29.2,73.6
2021-02-19 03:13:10,29.2,73.6
2021-02-19 03:18:10,29.2,73.6
2021-02-19 03:23:10,29.2,73.6
2021-02-19 03:28:11,29.1,73.6
2021-02-19 03:33:11,29.1,73.6
2021-02-19 03:38:11,29.1,73.6
2021-02-19 03:43:11,29.1,73.7
2021-02-19 03:48:11,29.1,73.6
2021-02-19 03:53:12,29.1,73.7
2021-02-19 03:58:12,29.1,73.6
2021-02-19 04:03:12,29.0,73.7
2021-02-19 04:08:12,29.0,73.7
2021-02-19 04:13:12,29.0,73.7
2021-02-19 04:18:13,29.0,73.8
2021-02-19 04:23:13,29.0,73.9
2021-02-19 04:28:13,29.0,73.8
2021-02-19 04:33:13,29.0,73.8
2021-02-19 04:38:13,29.0,73.9
2021-02-19 04:43:13,29.0,73.9
2021-02-19 04:48:14,29.0,73.9
2021-02-19 04:53:14,29.0,73.9
2021-02-19 04:58:14,28.9,73.9
2021-02-19 05:03:14,29.0,73.9
2021-02-19 05:08:14,29.0,74.0
2021-02-19 05:13:15,28.9,74.0
2021-02-19 05:18:15,28.9,74.0
2021-02-19 05:23:15,28.9,74.1
2021-02-19 05:28:15,28.9,74.1
2021-02-19 05:33:15,28.9,74.1
2021-02-19 05:38:16,28.9,74.1
2021-02-19 05:43:16,28.9,74.2
2021-02-19 05:48:16,28.9,74.2
2021-02-19 05:53:16,28.9,74.2
2021-02-19 05:58:16,28.9,74.3
2021-02-19 06:03:17,28.9,74.3
2021-02-19 06:08:17,28.9,74.3
2021-02-19 06:13:17,28.9,74.3
2021-02-19 06:18:17,28.9,74.3
2021-02-19 06:23:17,28.9,74.4
2021-02-19 06:28:17,29.0,74.4
2021-02-19 06:33:18,28.9,74.4
2021-02-19 06:38:18,28.9,74.4
2021-02-19 06:43:18,28.9,74.4
2021-02-19 06:48:18,28.9,74.4
2021-02-19 06:53:18,28.9,74.4
2021-02-19 06:58:19,28.9,74.5
2021-02-19 07:03:19,29.0,74.5
2021-02-19 07:08:19,28.9,74.5
2021-02-19 07:13:19,28.9,74.5
2021-02-19 07:18:19,29.0,74.5
2021-02-19 07:23:20,29.0,74.3
2021-02-19 07:28:20,28.9,73.9
2021-02-19 07:33:20,28.9,74.1
2021-02-19 07:38:20,29.0,74.2
2021-02-19 07:43:20,28.9,74.2
2021-02-19 07:48:21,29.0,74.3
2021-02-19 07:53:21,29.0,74.3
2021-02-19 07:58:21,29.0,74.4
2021-02-19 08:03:21,29.0,74.5
2021-02-19 08:08:21,29.2,74.6
2021-02-19 08:13:21,29.2,74.5
2021-02-19 08:18:22,29.2,74.6
2021-02-19 08:23:22,29.1,74.7
2021-02-19 08:28:22,29.2,74.8
2021-02-19 08:33:22,29.2,74.8
2021-02-19 08:38:22,29.2,74.8
2021-02-19 08:43:23,29.3,74.8
2021-02-19 08:48:23,29.4,74.9
2021-02-19 08:53:23,29.5,75.0
2021-02-19 08:58:23,29.6,75.9
2021-02-19 09:03:23,29.8,78.0
2021-02-19 09:08:24,30.0,78.3
2021-02-19 09:13:24,30.2,78.8
2021-02-19 09:18:24,30.5,79.1
2021-02-19 09:23:24,30.8,79.5
2021-02-19 09:28:24,31.1,79.2
2021-02-19 09:33:25,31.5,78.9
2021-02-19 09:38:25,31.9,77.8
2021-02-19 09:43:25,32.2,76.8
2021-02-19 09:48:25,32.3,76.3
2021-02-19 09:53:25,32.5,76.0
2021-02-19 09:58:25,32.8,75.7
2021-02-19 10:03:26,33.1,75.5
2021-02-19 10:08:26,33.6,75.1
2021-02-19 10:13:26,34.0,74.7
2021-02-19 10:18:26,34.3,74.4
2021-02-19 10:23:26,34.5,73.4
2021-02-19 10:28:27,34.8,73.6
2021-02-19 10:33:27,35.2,73.7
2021-02-19 10:38:27,35.6,73.6
2021-02-19 10:43:27,35.8,73.7
2021-02-19 10:48:27,35.7,73.0
2021-02-19 10:53:28,35.6,71.9
2021-02-19 10:58:28,35.4,71.5
2021-02-19 11:03:28,35.2,71.1
2021-02-19 11:08:28,35.0,71.3
2021-02-19 11:13:28,35.0,71.5
2021-02-19 11:18:28,34.9,71.7
2021-02-19 11:23:29,35.0,71.0
2021-02-19 11:28:29,35.0,71.3
2021-02-19 11:33:29,34.9,71.5
2021-02-19 11:38:29,34.9,71.6
2021-02-19 11:43:29,35.1,71.7
2021-02-19 11:48:30,35.1,71.1
2021-02-19 11:53:30,35.0,70.6
2021-02-19 11:58:30,34.7,70.6
2021-02-19 12:03:30,34.9,70.0
2021-02-19 12:08:30,34.9,69.2
2021-02-19 12:13:31,34.9,70.6
2021-02-19 12:18:31,34.9,70.7
2021-02-19 12:23:31,35.2,70.7
2021-02-19 12:28:31,35.8,69.9
2021-02-19 12:33:31,36.6,69.3
2021-02-19 12:38:32,36.7,69.7
2021-02-19 12:43:32,36.9,70.5
2021-02-19 12:48:32,37.2,69.9
2021-02-19 12:53:32,37.5,68.8
2021-02-19 12:58:32,37.4,67.9
2021-02-19 13:03:32,37.2,67.1
2021-02-19 13:08:33,36.9,67.3
2021-02-19 13:13:33,36.7,67.1
2021-02-19 13:18:33,36.5,67.6
2021-02-19 13:23:33,36.4,67.7
2021-02-19 13:28:33,36.4,68.0
2021-02-19 13:33:34,36.3,67.9
2021-02-19 13:38:34,36.2,67.5
2021-02-19 13:43:34,36.1,67.8
2021-02-19 13:48:34,35.9,68.1
2021-02-19 13:53:34,35.8,67.7
2021-02-19 13:58:35,35.6,67.8
2021-02-19 14:03:35,35.5,68.1
2021-02-19 14:08:35,35.5,67.5
